arch_id,test_accuracy,test_precision,test_recall,test_f1_score,epoch_time_sec,num_params,num_flops,architecture,train_loss_epoch_1,train_acc_epoch_1,train_loss_epoch_2,train_acc_epoch_2,train_loss_epoch_3,train_acc_epoch_3,train_loss_epoch_4,train_acc_epoch_4,train_loss_epoch_5,train_acc_epoch_5
0,0.5052,0.507261865,0.5052,0.499787732,90.98902011,92336,1672192,"Conv2d(k=1,p=0) -> Conv2d(k=1,p=0) -> KAN(order=2,grid=5,act=ReLU)",1.867572646,33.898,1.59110851,44.296,1.493925441,47.642,1.443893242,49.234,1.404826451,50.908
1,0.5176,0.52619433,0.5176,0.51087693,92.96964645,92336,1672192,"Conv2d(k=1,p=0) -> Conv2d(k=1,p=0) -> KAN(order=2,grid=5,act=GELU)",1.806704046,35.688,1.497033888,47.338,1.426527308,49.734,1.387803692,51.24,1.360799169,52.41
2,0.5445,0.543812247,0.5445,0.540159137,95.30354786,92336,1672192,"Conv2d(k=1,p=0) -> Conv2d(k=1,p=0) -> KAN(order=2,grid=5,act=SiLU)",1.760993687,37.532,1.43512468,49.53,1.352503468,52.57,1.302977219,54.462,1.26969324,55.644
3,0.5127,0.529003719,0.5127,0.503975092,93.59779739,123056,2286592,"Conv2d(k=1,p=0) -> Conv2d(k=1,p=0) -> KAN(order=2,grid=8,act=ReLU)",1.792741323,36.736,1.488894069,47.616,1.411547523,50.342,1.367855866,51.994,1.332404226,53.248
4,0.5532,0.558128755,0.5532,0.553496417,92.37122798,123056,2286592,"Conv2d(k=1,p=0) -> Conv2d(k=1,p=0) -> KAN(order=2,grid=8,act=GELU)",1.675934971,40.77,1.387929163,51.128,1.30948492,54.054,1.261852517,55.828,1.223524533,57.01
5,0.5498,0.552174659,0.5498,0.543944418,91.00955105,123056,2286592,"Conv2d(k=1,p=0) -> Conv2d(k=1,p=0) -> KAN(order=2,grid=8,act=SiLU)",1.709598865,39.78,1.403585078,50.786,1.324247636,53.682,1.277203587,55.208,1.241500204,56.478
6,0.5099,0.522234034,0.5099,0.502557124,91.2471292,143536,2696192,"Conv2d(k=1,p=0) -> Conv2d(k=1,p=0) -> KAN(order=2,grid=10,act=ReLU)",1.797908996,36.216,1.510499924,46.976,1.43362079,49.694,1.383368143,51.568,1.34694212,52.772
7,0.5499,0.54862518,0.5499,0.544556061,102.3551812,143536,2696192,"Conv2d(k=1,p=0) -> Conv2d(k=1,p=0) -> KAN(order=2,grid=10,act=GELU)",1.774665284,37.504,1.434126618,49.674,1.331471994,53.408,1.276655565,55.346,1.238527304,56.708
8,0.5468,0.547741616,0.5468,0.541336849,120.5452771,143536,2696192,"Conv2d(k=1,p=0) -> Conv2d(k=1,p=0) -> KAN(order=2,grid=10,act=SiLU)",1.727589175,39.24,1.420621786,50.356,1.335317215,53.214,1.283903897,55.154,1.251091837,56.3
9,0.5441,0.551548639,0.5441,0.539483992,93.31236887,194736,3720192,"Conv2d(k=1,p=0) -> Conv2d(k=1,p=0) -> KAN(order=2,grid=15,act=ReLU)",1.709386429,38.728,1.402486453,50.454,1.321675654,53.596,1.270940976,55.852,1.236616647,57.042
10,0.5274,0.53196318,0.5274,0.520128854,93.5765934,194736,3720192,"Conv2d(k=1,p=0) -> Conv2d(k=1,p=0) -> KAN(order=2,grid=15,act=GELU)",1.710677668,39.706,1.424978107,50.264,1.343634692,53.202,1.289119116,55.21,1.242899423,56.65
11,0.5358,0.532067902,0.5358,0.530823144,92.86116195,194736,3720192,"Conv2d(k=1,p=0) -> Conv2d(k=1,p=0) -> KAN(order=2,grid=15,act=SiLU)",1.730146977,39.026,1.423164063,49.808,1.348273843,52.714,1.304062871,54.272,1.272210678,55.59
12,0.5436,0.547611045,0.5436,0.540071067,95.26971054,245936,4744192,"Conv2d(k=1,p=0) -> Conv2d(k=1,p=0) -> KAN(order=2,grid=20,act=ReLU)",1.671488514,40.98,1.396638011,51.162,1.318669124,53.958,1.270357074,55.578,1.229499573,57.298
13,0.535,0.545015515,0.535,0.533814342,97.01041341,245936,4744192,"Conv2d(k=1,p=0) -> Conv2d(k=1,p=0) -> KAN(order=2,grid=20,act=GELU)",1.682222752,40.804,1.382112967,51.134,1.295195239,54.498,1.238669202,56.81,1.197279107,58.24
